LD1	LD2	sampleID
1.7520266	-4.632869	HGDP01232
1.3064344	-5.1606936	HGDP01102
2.5452542	-4.3295016	HGDP01204
2.831198	-1.4018126	HGDP00100
2.713799	-1.3766732	HGDP01303
3.243726	-4.0068836	HGDP01206
1.921688	-4.4762516	HGDP00772
2.9510868	-1.5833108	HGDP00099
2.677245	-0.55088574	HGDP00371
2.089762	-4.5204473	HGDP00758
1.572547	-4.5064764	HGDP00765
2.2326887	-4.5763335	HGDP00750
2.830561	-3.572992	HGDP01229
3.232073	-3.715058	HGDP01237
2.3597481	-4.344368	HGDP00756
1.6428058	-4.5415335	HGDP00751
1.6221827	-4.736655	HGDP00828
2.7029958	-1.7138413	HGDP00108
2.7257626	-1.7155412	HGDP00115
1.8859584	-4.811954	HGDP00790
2.6475952	-1.3160646	HGDP00109
3.0124218	-2.7202048	HGDP00963
2.8152673	-0.29484564	HGDP00356
2.6025894	-0.3470989	HGDP00392
2.4906518	-4.529906	HGDP01221
2.7138875	-1.7189627	HGDP00953
2.6617637	-4.0158925	HGDP01209
2.9359357	-2.695471	HGDP00950
-0.16121049	-5.2122073	HGDP00719
2.8751614	-0.5875687	HGDP00104
2.5862267	-4.233744	HGDP01249
2.5679502	-4.4082036	HGDP01218
1.9363303	-4.755234	HGDP01251
3.259148	-2.958932	HGDP00960
2.8758283	-3.3361804	HGDP00964
1.8361528	-4.5557647	HGDP00771
3.1948245	-3.2253375	HGDP00957
3.2459066	-2.8971112	HGDP00968
2.3208416	-4.268946	HGDP01220
2.2171128	-4.010904	HGDP01212
2.0111368	-4.7340727	HGDP00761
2.4973807	-3.9661877	HGDP01205
2.7444122	-0.18319945	HGDP00351
2.7376757	-0.5150743	HGDP00372
2.693918	-3.73318	HGDP01241
1.995338	-4.684712	HGDP00760
3.2045836	-3.0936325	HGDP00961
1.6490433	-4.6685424	HGDP00769
1.6409947	-4.543381	HGDP00757
3.0175703	-3.0710185	HGDP00952
-0.53541666	-5.3942456	HGDP00721
1.8382694	0.23439355	HGDP00021
2.6060658	-4.378902	HGDP01231
2.9524295	-3.2511444	HGDP00969
1.525426	-0.24346714	HGDP00039
1.7711811	-4.2143703	HGDP00764
2.5455263	-2.5321982	HGDP01305
0.7853984	0.1578923	HGDP00060
2.0720804	-0.068881206	HGDP00035
2.0232766	-4.7617316	HGDP00791
2.215466	0.052508663	HGDP00234
1.9201427	-4.5031066	HGDP01227
2.1375575	-4.474014	HGDP01236
2.4277234	-1.2173327	HGDP00110
0.17659006	0.29244775	HGDP00173
3.3279533	-3.3832393	HGDP00955
2.4482098	-1.3577408	HGDP00106
4.4557567	0.41195387	HGDP00285
2.521522	0.23997135	HGDP00047
2.1129518	0.12095673	HGDP00049
2.2338378	0.10460038	HGDP00031
2.7169893	-0.57241064	HGDP00438
1.9417634	-0.27185422	HGDP00199
4.449301	0.4953795	HGDP00313
2.1123667	0.13292535	HGDP00066
2.2423375	-0.19709043	HGDP00239
-0.04770735	1.4457974	HGDP00013
4.7764673	1.1182171	HGDP00323
2.3516555	-0.3133598	HGDP00070
2.416626	-0.30134505	HGDP00262
2.2032852	-0.54955465	HGDP00224
4.2285376	0.5205892	HGDP00304
2.080864	-0.04043739	HGDP00098
1.9619873	0.16536124	HGDP00043
1.8190494	-0.30258375	HGDP00181
2.5150597	0.11795599	HGDP00247
4.1536474	2.8567445	HGDP01361
